,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,score,VideoAmt,PhotoAmt,AdoptionSpeed,No_name,Pure_breed,desc_length,desc_words,averate_word_length,magnitude
21,1,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,41326,fa7cd6caa034d4332fc75d70807e83a3,0,0,5.0,4,0,1,94,14,6.714285714285714,0
22,2,0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,41401,97be67995b53f86f64be212c867009fa,0,0,0.0,4,0,1,111,20,5.55,0
23,1,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,0,0.0,4,0,0,339,65,5.2153846153846155,0
24,2,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,41401,b8853c71b981104f1ef126e51387b616,0,0,19.0,1,0,1,209,42,4.976190476190476,0
25,2,36,285,251,1,3,0,0,3,2,1,1,1,1,1,0,41326,001e42763024f9d4abe31e79472b1827,0,0,3.0,2,0,0,345,64,5.390625,0
26,2,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,41401,1b9bb5275677d26b00604f24439c81fc,0,0,11.0,1,0,0,54,9,6.0,0
27,2,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,41326,2f846fb8f87a25678374e193559d83c9,0,0,2.0,2,0,1,94,19,4.947368421052632,0
28,1,14,189,0,1,1,2,0,3,1,1,1,2,1,1,1,41326,cbc97ee98ae458e5deecedbc648e90d2,0,0,0.0,3,0,1,171,30,5.7,0
29,2,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,41327,86552e2f34c929a01f7841cbd8865b20,0,0,1.0,2,0,1,296,54,5.481481481481482,0
30,1,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,0,5.0,3,0,0,215,40,5.375,0
31,2,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,41361,3cbe8b84e5b4852b5923c348fefcdf31,0,0,1.0,1,0,1,39,7,5.571428571428571,0
32,1,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,41326,2147467fcd35e7a3bc23b9edcffc5702,0,0,1.0,4,0,1,296,56,5.285714285714286,0
33,2,4,266,0,2,1,6,7,1,1,2,2,2,1,2,0,41326,7d58438884ab468dce87c7e252bbd6e4,0,0,7.0,3,1,1,338,58,5.827586206896552,0
34,2,3,266,0,2,1,7,0,1,1,1,2,2,1,1,1,41327,6e4f4078c85aaa01b4059fbf679e6695,0,0,5.0,4,0,1,20,3,6.666666666666667,0
35,2,12,264,0,2,6,0,0,2,3,2,2,2,1,1,0,41326,76f0a2be251f10691a62e16409b95e47,0,0,5.0,1,0,1,22,4,5.5,0
36,2,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,41326,90b00f90ffdf9ec1cac529a2bbef3ecc,0,0,2.0,4,1,0,30,7,4.285714285714286,0
37,2,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,41326,b020ad4c866a9f17be0ab3beaa38c78c,0,0,3.0,1,0,1,209,36,5.805555555555555,0
38,1,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41336,31de822d0adce3e2dad7dcedfbee2ba8,0,0,4.0,1,0,1,236,44,5.363636363636363,0
39,1,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,41326,6757d0b9d5b72d8b78c20e355c7fe62c,0,0,1.0,3,0,1,102,16,6.375,0
40,2,2,265,266,2,7,0,0,2,2,2,1,2,1,1,0,41326,3608ac1e44811d7ccba91924b68c8cf5,0,0,13.0,3,0,0,929,176,5.278409090909091,0
41,2,1,266,0,3,1,2,7,1,1,2,2,2,1,3,0,41326,dc161f335e8afdc4b7db7a0d1006450a,0,0,1.0,2,0,1,94,17,5.529411764705882,0
42,2,24,292,285,2,7,0,0,2,3,3,3,3,2,6,0,41326,813db17af7694027ab11db3245900c99,0,0,1.0,1,0,0,138,25,5.52,0
43,1,5,128,307,1,7,0,0,2,1,1,1,1,1,1,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,0,6.0,3,0,0,245,44,5.568181818181818,0
44,1,12,307,0,1,2,7,0,2,2,2,1,1,1,1,0,41336,61c1f7b917b7f6772c5e77849c2b4127,0,0,2.0,4,0,1,239,38,6.2894736842105265,0
45,1,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,41326,5788b8639ed178795510a8cbe72ccc28,0,0,11.0,4,0,1,406,68,5.970588235294118,0
46,2,5,265,0,1,4,7,0,1,3,1,1,2,1,1,0,41326,ce824bb488ae6a8f115a923135d1a642,0,0,13.0,3,0,1,424,78,5.435897435897436,0
47,1,72,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,c9a898071102b4fc7d485be4ff0e35d9,0,0,3.0,4,0,1,280,48,5.833333333333333,0
48,1,1,307,0,3,1,2,0,2,1,3,3,2,1,9,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,0,3.0,3,0,1,118,25,4.72,0
49,2,60,264,0,1,1,2,7,3,3,1,1,1,1,1,0,41326,d835d7d98b94ec261d6d889a39eaed73,0,0,3.0,2,0,1,477,89,5.359550561797753,0
50,1,1,307,141,2,1,0,0,2,2,2,1,1,1,2,0,41326,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,0,13.0,3,0,0,302,54,5.592592592592593,0
51,2,6,266,0,1,1,2,7,2,1,1,1,1,1,1,100,41401,8ffce5c58bc69ccac0ceee68ddce6ffd,0,0,1.0,4,0,1,89,15,5.933333333333334,0
52,1,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,41326,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,0,3.0,3,0,1,288,54,5.333333333333333,0
53,1,12,307,307,2,2,0,0,2,2,1,1,1,1,2,0,41326,db37468644b7600f55f9c0bab40acf59,0,0,5.0,4,0,0,1022,185,5.524324324324325,0
54,1,3,307,0,2,2,7,0,1,1,3,3,3,2,1,0,41326,32dec3aacc31b4fb66ad0c807fd69696,0,0,0.0,3,0,1,254,52,4.884615384615385,0
55,2,3,265,0,3,4,6,7,1,2,1,1,2,1,2,0,41401,ccab255657ce17ccbde14b74e89353de,0,0,15.0,2,0,1,359,59,6.084745762711864,0
56,2,5,266,0,1,1,7,0,2,1,2,1,2,1,1,30,41326,4d5f43732b32887e08b4e83eac8f62e0,0,0,4.0,4,0,1,627,119,5.26890756302521,0
57,1,24,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41326,a23a047157d709e38cf801a723a246ba,0,0,2.0,2,0,1,138,27,5.111111111111111,0
58,1,4,307,0,1,5,0,0,3,2,2,2,2,1,1,0,41326,2bae234d5ea501d9e1671b9154c6dc70,0,0,3.0,1,0,1,116,22,5.2727272727272725,0
59,2,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,41401,56e5bf402cb852ece2604f92e4c5c2a2,0,0,1.0,4,0,1,82,13,6.3076923076923075,0
60,2,1,266,0,2,4,0,0,2,1,2,2,2,1,1,0,41326,8e8304b632d3868293bd3fd89b105e90,0,0,5.0,1,0,1,264,53,4.981132075471698,0
61,1,9,307,0,1,2,5,0,2,1,1,1,3,1,1,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,0,2.0,4,0,1,358,70,5.114285714285714,0
62,1,60,307,0,2,2,5,0,2,1,2,2,1,1,1,0,41326,167e96a28fab246120f636262f0308d4,0,0,2.0,4,0,1,460,94,4.8936170212765955,0
63,1,2,307,0,1,1,2,0,2,2,2,2,2,1,1,0,41327,ba86004409dfbe41d6d72cc92a31439b,0,0,5.0,2,0,1,155,25,6.2,0
64,1,2,213,307,3,1,3,7,2,3,1,1,2,1,7,0,41326,e62135526c27156b8479420aad166317,0,0,21.0,3,0,0,874,133,6.571428571428571,0
65,1,48,205,0,2,2,5,0,2,2,1,1,2,1,1,0,41326,3b4973ac9e6a430314f5cfd356fdb3e4,0,0,5.0,1,0,1,29,5,5.8,0
66,2,3,266,0,2,2,0,0,2,1,2,2,2,1,1,0,41324,e3bbcf8a10e96c7ec63e557a176c9aa0,0,0,1.0,4,1,1,37,7,5.285714285714286,0
67,2,4,266,0,1,1,3,0,1,1,2,1,2,1,2,0,41401,2c711fc92ce10361f5b624d5a9c1e139,0,0,1.0,2,0,1,367,65,5.6461538461538465,0
68,2,9,266,0,2,2,7,0,2,1,2,2,2,1,1,0,41401,e28bf3c810e2b06bc9d5fe56740fdbcd,0,0,1.0,2,0,1,325,62,5.241935483870968,0
69,1,62,307,0,1,1,3,6,2,2,1,1,1,1,1,0,41401,de218e291145dbc92083d5bc292d10b8,0,0,3.0,4,0,1,156,28,5.571428571428571,0
70,1,36,307,0,2,1,2,0,2,1,1,1,1,1,5,0,41326,2147467fcd35e7a3bc23b9edcffc5702,0,0,1.0,4,0,1,277,51,5.431372549019608,0
71,1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,0,1.0,3,0,0,14,3,4.666666666666667,0
72,1,2,141,128,1,1,2,7,1,1,1,3,2,1,1,0,41401,d2ec92fbdbf1e452b57cd25b3d51bc72,0,0,5.0,1,0,0,230,43,5.348837209302325,0
73,1,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,41326,0e18b1cafeff35a2ba291e3c7e31255d,0,0,3.0,4,0,1,204,37,5.513513513513513,0
74,1,1,173,96,3,1,2,7,2,2,2,2,2,1,9,100,41335,80ecb2b31b27d310c829d09e1570cef9,0,0,5.0,2,0,0,1878,267,7.033707865168539,0
75,1,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,41336,31de822d0adce3e2dad7dcedfbee2ba8,0,0,1.0,0,0,1,148,30,4.933333333333334,0
76,1,2,307,0,2,1,0,0,3,1,1,1,2,1,2,0,41326,603f4e699a92fb6b4f0479c1a3c6e13f,0,1,3.0,4,0,1,770,144,5.347222222222222,0
77,1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,bb37f98b63ae488316a12dc070c4d075,0,0,3.0,3,0,1,122,25,4.88,0
78,1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,0,5.0,1,0,0,12,2,6.0,0
79,1,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,89c6f93e7aa2c394634306ac9efe4072,0,0,1.0,3,1,1,221,40,5.525,0
80,1,2,307,0,2,1,2,0,2,1,1,2,2,1,1,0,41327,3223e1c4cb2bef48823ee5c604b9aa04,0,0,1.0,4,0,1,218,36,6.055555555555555,0
81,1,3,207,0,1,1,2,0,1,3,1,1,3,1,1,750,41326,d03a75a35edc98d0c4eaab6cc0157d0b,0,0,2.0,1,0,1,246,48,5.125,0
82,1,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,41325,5b713a4d7902d3e516f80a0761afc403,0,0,1.0,2,0,1,234,36,6.5,0
83,1,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,0,3.0,3,0,0,93,16,5.8125,0
84,2,6,265,0,2,5,7,0,2,2,2,1,2,1,1,50,41326,74dabecce4ddb0c4d08892255974496b,0,0,4.0,3,0,1,126,21,6.0,0
85,1,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,0,3.0,2,0,1,118,20,5.9,0
86,2,47,250,285,2,1,2,0,2,3,2,2,2,1,1,0,41326,299e22e2f31f5a1be0fa923ca3cd90a3,0,0,2.0,4,0,0,137,28,4.892857142857143,0
87,1,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,41326,5cbf7860da1936f71acb44d6c1b8b292,0,0,4.0,2,0,0,303,57,5.315789473684211,0
88,1,12,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41330,f2522890ad604bf70421af61cb871a96,0,3,11.0,3,0,1,1584,283,5.597173144876325,0
89,1,2,307,76,1,1,7,0,2,1,1,1,2,1,1,0,41326,e03a1162538a0414d6c79823ad6c2744,0,4,18.0,3,0,0,1308,228,5.7368421052631575,0
90,1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,41330,f2522890ad604bf70421af61cb871a96,0,0,5.0,3,0,1,643,119,5.4033613445378155,0
91,2,1,266,266,3,2,3,7,1,2,2,2,2,1,2,0,41326,623948fc0c0269298e8aa2493b7dd2a7,0,0,3.0,4,0,0,994,193,5.150259067357513,0
92,1,1,307,307,3,2,7,0,2,1,2,2,2,1,5,0,41326,61fe7e6f5cc3f8e40dcb5f14147f38fe,0,0,0.0,4,1,0,165,31,5.32258064516129,0
93,2,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,41324,e6ea7180b4e5320b0006e6e2f65397d9,0,0,12.0,3,0,1,672,106,6.339622641509434,0
94,2,24,266,0,2,2,4,0,2,1,2,2,1,1,1,0,41326,c5dd3fa6810843a5806906d1991af7f4,0,0,1.0,4,0,1,27,4,6.75,0
95,1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41327,051023f822efb1612c95900fa7656f39,0,0,2.0,3,0,1,220,47,4.680851063829787,0
96,2,19,285,0,2,1,6,0,3,3,1,1,2,1,1,0,41401,12c51d7222986fbf000db9061f5082be,0,0,3.0,1,0,1,0,0,,0
97,1,4,207,169,2,2,0,0,1,3,3,1,1,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,0,3.0,3,0,0,193,33,5.848484848484849,0
98,1,24,307,0,1,2,7,0,2,1,2,2,2,1,1,0,41336,53b2190d32ed23e43daf8b6bb7ca4231,0,0,3.0,3,0,1,89,16,5.5625,0
99,2,3,265,0,1,1,7,0,2,2,3,3,2,1,1,0,41326,c3f6408e1ee043b38bd0d39558b8edf5,0,0,1.0,1,1,1,22,3,7.333333333333333,0
100,2,1,264,0,3,5,6,0,1,2,2,2,2,1,2,0,41401,badbeceda6035a19ccfb1fde96482243,0,0,1.0,2,1,1,210,43,4.883720930232558,0
101,1,24,119,307,2,1,6,7,2,2,3,3,1,1,1,0,41326,12deeea11a39a3da448d425b42eaee1d,0,0,2.0,2,0,0,448,84,5.333333333333333,0
102,1,60,195,0,1,6,0,0,2,2,1,1,1,1,1,0,41401,f6593a1c5d44e6b10048105280701642,0,0,3.0,4,0,1,242,44,5.5,0
103,1,1,307,307,2,1,2,7,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,0,1.0,3,0,0,12,2,6.0,0
104,2,3,266,0,2,2,3,0,1,1,1,1,2,1,1,0,41326,5a60b3e485efdf4a18344c4cf14d02eb,0,0,7.0,1,0,1,625,110,5.681818181818182,0
105,2,2,265,0,1,3,0,0,1,2,2,2,2,1,1,0,41401,1004c35eccb48a99a16726b45f0d7baa,0,0,2.0,2,0,1,33,4,8.25,0
106,2,1,266,266,3,1,7,0,2,1,1,1,2,1,2,1,41401,9b52af6d48a4521fd01d4028eb5879a3,0,0,3.0,0,0,0,309,57,5.421052631578948,0
107,1,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,41401,b770bac0ca797cf1433c48a35d30c4cb,0,0,2.0,3,0,1,120,23,5.217391304347826,0
108,2,2,266,0,2,6,7,0,2,1,2,1,2,1,1,0,41401,abe54643224ddbb5c199cd46fbca0392,0,0,2.0,1,1,1,140,22,6.363636363636363,0
109,1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,39f6f321507e2791e7c12d3f946bc5bf,0,0,4.0,4,0,1,165,31,5.32258064516129,0
110,1,2,307,307,2,1,4,7,3,1,2,2,2,1,6,0,41327,71ebc64aef066476aabc21ca36c5650a,0,0,5.0,3,1,0,559,108,5.175925925925926,0
111,2,12,299,0,2,3,6,7,2,2,1,2,1,1,2,0,41324,08e6e9a38d5c2275b28c2ae4432c9130,0,0,1.0,4,0,1,40,6,6.666666666666667,0
112,2,4,266,306,2,1,7,0,2,1,1,1,2,1,1,0,41401,13b3c0d8590208d6e60e7118bc3b98d1,0,0,5.0,2,0,0,1856,321,5.781931464174455,0
113,1,120,307,0,1,1,2,7,3,1,3,3,3,1,1,0,41401,528e832163898e9863fd2cc1dcdc3126,0,0,3.0,4,1,1,884,176,5.0227272727272725,0
114,1,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41326,eeb152df9a17158315a78e78a2bc93d9,0,0,4.0,4,0,1,188,36,5.222222222222222,0
115,2,1,265,0,3,2,5,7,1,2,2,2,2,1,4,0,41326,10dec111cc1026ade84cbae3bc17940e,0,0,2.0,4,1,1,432,82,5.2682926829268295,0
116,1,36,109,0,2,2,3,4,3,2,1,1,2,1,1,0,41326,07b1ad054b89aec4847067fde31bf1f2,0,0,4.0,1,0,1,701,134,5.231343283582089,0
117,2,3,266,0,2,1,2,7,1,1,2,1,2,1,1,0,41326,d385a3b7e7d8c858acc5f6db31f1febb,0,0,3.0,4,1,1,70,11,6.363636363636363,0
118,2,60,285,0,1,3,0,0,2,2,1,1,2,1,1,0,41326,069e1370c27e7210f80317da4d5965db,0,0,0.0,4,0,1,96,17,5.647058823529412,0
119,2,1,266,0,2,2,5,7,2,1,2,1,3,1,1,0,41326,167119eeb94dec6c615c602952c527c8,0,0,4.0,1,0,1,342,55,6.218181818181818,0
120,1,3,307,0,3,1,2,7,2,2,1,1,2,1,3,150,41326,4adf17f7d78a2ea23a77ff056b5e7779,0,0,3.0,1,1,1,318,60,5.3,0
121,1,36,189,0,1,1,5,0,3,1,1,1,1,1,1,0,41326,35a01a2c77e0c2b18d9ac61b7636edd9,0,0,4.0,2,0,1,1482,286,5.181818181818182,0
122,1,12,206,0,1,1,6,7,2,2,1,2,2,1,1,400,41332,e3e5215fd4da172889c90fd3f10558ff,0,0,1.0,2,0,1,1146,208,5.509615384615385,0
123,2,1,266,0,3,1,6,7,1,1,2,3,2,1,4,0,41401,da6c64c056c070bbb5f840d5e233b581,0,0,3.0,3,0,1,286,51,5.607843137254902,0
124,1,0,307,307,3,1,2,3,3,1,3,3,3,1,2,0,41326,93b9bd02cfbd0944686ceee8798b9eec,0,0,4.0,1,0,0,565,111,5.09009009009009,0
125,2,1,265,0,1,1,7,0,1,2,2,2,2,1,1,0,41326,66044942690776d858708bfc7c166078,0,1,1.0,2,0,1,171,31,5.516129032258065,0
126,1,5,70,18,1,5,7,0,2,1,1,1,1,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,0,6.0,3,0,0,92,14,6.571428571428571,0
127,1,24,103,307,2,1,2,0,2,2,3,3,3,1,1,0,41401,b2741da861b4ce23042862d387f14345,0,0,3.0,3,0,0,461,81,5.691358024691358,0
128,1,3,307,0,1,2,0,0,2,2,1,1,2,1,1,0,41326,95481e953f8aed9ec3d16fc4509537e8,0,0,3.0,1,0,1,255,53,4.811320754716981,0
129,1,3,307,0,2,2,0,0,1,1,3,3,3,1,3,0,41332,445e032bd30339c5b0cc2852b8f318db,0,0,1.0,4,0,1,39,6,6.5,0
130,1,4,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41335,849d5c53eea804440adc2eebc4eecf4a,0,0,5.0,4,0,1,678,125,5.424,0
131,2,3,266,0,3,1,7,0,2,2,3,3,3,1,2,0,41326,73ba1badbbec9b9a37671b0dc84c1d5e,0,0,3.0,1,0,1,213,32,6.65625,0
132,2,1,265,0,2,1,7,0,1,2,2,2,2,1,5,0,41332,c615548c8536989d6ff41c0428b59496,0,0,3.0,2,0,1,151,27,5.592592592592593,0
133,2,8,292,266,1,2,5,0,2,1,1,1,2,1,1,50,41326,23e54862081be8893f32f88cfb2f4bad,0,0,8.0,2,0,0,214,40,5.35,0
134,2,2,303,266,3,1,2,0,2,1,2,2,2,1,2,0,41332,9bccd71913b5034beb2b56fbc09ad6bb,0,0,2.0,4,0,0,102,14,7.285714285714286,0
135,1,32,307,307,3,1,4,5,2,1,1,1,1,1,2,0,41326,2dea9d1be190e7ccb927bbbab3c43c6f,0,0,5.0,4,0,0,1063,205,5.185365853658537,0
136,1,3,78,307,3,1,2,0,3,1,1,1,2,1,3,0,41326,90191b06d602e8d45b4ce25dd22c6a3e,0,0,4.0,2,0,0,223,42,5.309523809523809,0
137,2,12,265,0,1,1,0,0,2,2,2,2,2,1,1,0,41326,ed71a1eeddcb2b5fb8bf1b6fcb9fa173,0,0,1.0,3,0,1,384,72,5.333333333333333,0
138,1,4,307,36,2,1,2,7,2,2,1,1,1,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,0,10.0,3,0,0,286,57,5.017543859649122,0
139,1,2,307,0,1,1,2,0,2,1,2,3,2,1,1,0,41326,d354f29091eed622077faaa0915b1c41,0,0,3.0,2,0,1,146,31,4.709677419354839,0
140,2,7,254,303,2,1,4,7,2,1,1,1,2,1,1,0,41326,f1ef4bef6ae16604d7a9025549d267e9,0,0,7.0,2,0,0,16,3,5.333333333333333,0
141,2,5,264,0,1,4,0,0,2,3,2,1,2,1,1,100,41401,2ed5e6622e8d49859f21f05895acbb02,0,0,5.0,3,0,1,1127,195,5.779487179487179,0
142,2,2,265,0,2,6,7,0,2,2,1,1,2,1,2,0,41401,edd50c202ca64fc1c596f33a1e7a07da,0,0,4.0,2,0,1,1109,206,5.383495145631068,0
143,1,60,10,0,2,1,7,0,2,1,1,1,1,1,1,0,41401,41fe1118eb61063bd10f3268953936da,0,0,2.0,3,0,1,108,19,5.684210526315789,0
144,2,4,265,247,3,1,3,7,2,2,2,2,2,1,5,0,41401,f98fe65b3bb68db1970f3f85135e3f26,0,0,5.0,2,0,0,956,178,5.370786516853933,0
145,1,120,20,195,1,2,0,0,2,1,1,1,2,1,2,0,41326,310cd86ec76858f026b95e421b833294,0,0,1.0,1,1,0,71,13,5.461538461538462,0
146,1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,6842e4eee37d89afb73e4254fd198bcb,0,0,2.0,2,0,1,507,91,5.571428571428571,0
147,2,17,266,0,2,1,2,7,1,1,3,3,1,1,1,0,41326,25d364ddacb543bb7a291911958af392,0,0,3.0,3,0,1,430,84,5.119047619047619,0
148,2,2,266,0,3,4,5,7,2,1,2,2,2,1,2,0,41401,4d8fde07f6c9e2d46b8dff04ad911e2b,0,0,2.0,2,0,1,286,49,5.836734693877551,0
149,1,48,307,307,1,1,2,0,2,2,1,1,1,1,1,0,41326,8990faa0bc978c8f5604caeca57374ee,0,0,2.0,2,0,0,94,20,4.7,0
150,1,4,307,0,2,1,7,0,2,1,1,2,2,1,1,0,41332,a122520ed8898a9d95086890fd0e3f1d,0,0,2.0,3,0,1,70,12,5.833333333333333,0
151,2,12,305,0,2,3,5,0,2,2,3,1,1,1,1,0,41326,bfa8d32cc12199d2eab33057963bae7c,0,0,2.0,3,0,1,330,70,4.714285714285714,0
152,2,12,285,292,1,1,7,0,3,3,2,1,2,1,1,0,41326,ca58077c7cd1124f91f76ec54937aaea,0,0,2.0,1,0,0,153,31,4.935483870967742,0
153,2,3,266,0,2,6,7,0,2,1,1,1,2,1,1,0,41401,ade404aff4df59c811a26246f3b10b20,0,1,3.0,2,0,1,426,84,5.071428571428571,0
154,1,1,307,0,3,1,2,3,2,2,2,2,2,1,3,0,41326,10f070fe1c098a8f58fe6ced493f2a8e,0,0,11.0,4,0,1,202,40,5.05,0
155,1,36,78,0,2,1,2,0,3,2,3,3,3,2,1,0,41401,d0d416c617213a17f3baf64dccdf554d,0,0,4.0,3,1,1,284,59,4.813559322033898,0
156,1,12,307,0,2,5,7,0,2,1,3,3,3,1,1,0,41326,13e30717f49ea56c325305aec4e03559,0,1,1.0,4,0,1,521,92,5.663043478260869,0
157,1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,80,41327,7f74401ff1a7ca18737bc527ccf23a45,0,0,1.0,4,0,1,255,42,6.071428571428571,0
